RN,RDATE,PIPE,DEPTH,CONDUCT,Conduct Primary,Primary Test,Conduct Secondary,Secondary Test
12500273,02/06/2016 00:00:00,A,,377,850,PASS,850,PASS
12500273,04/06/2018 00:00:00,A,,318,850,PASS,850,PASS
12500273,06/11/2018 00:00:00,A,,400,850,PASS,850,PASS
12500273,10/11/2016 00:00:00,A,,372,850,PASS,850,PASS
12500273,12/05/2020 00:00:00,A,,379,850,PASS,850,PASS
12500273,21/05/2015 00:00:00,A,,335,850,PASS,850,PASS
12500273,22/05/2017 00:00:00,A,,368,850,PASS,850,PASS
12500273,23/05/2019 00:00:00,A,,372,850,PASS,850,PASS
12500273,24/05/2013 00:00:00,A,,336,850,PASS,850,PASS
12500273,25/05/2021 00:00:00,A,,355,850,PASS,850,PASS
12500273,27/08/2009 00:00:00,A,,315,850,PASS,850,PASS
12500273,04/06/2009 00:00:00,X,14.75,320,850,PASS,850,PASS
12500274,02/06/2015 00:00:00,A,,245,800,PASS,NULL,N/A
12500274,05/06/2018 00:00:00,A,,288,800,PASS,NULL,N/A
12500274,06/01/2012 00:00:00,A,,282,800,PASS,NULL,N/A
12500274,06/11/2018 00:00:00,A,,277,800,PASS,NULL,N/A
12500274,08/02/2012 00:00:00,A,,244,800,PASS,NULL,N/A
12500274,10/11/2016 00:00:00,A,,286,800,PASS,NULL,N/A
12500274,12/05/2020 00:00:00,A,,257,800,PASS,NULL,N/A
12500274,16/10/2019 00:00:00,A,,255,800,PASS,NULL,N/A
12500274,20/04/2016 00:00:00,A,,312,800,PASS,NULL,N/A
12500274,22/05/2017 00:00:00,A,,270,800,PASS,NULL,N/A
12500274,23/05/2013 00:00:00,A,,234,800,PASS,NULL,N/A
12500274,23/05/2019 00:00:00,A,,249,800,PASS,NULL,N/A
12500274,28/05/2021 00:00:00,A,,241,800,PASS,NULL,N/A
12500274,30/10/2010 00:00:00,A,,290,800,PASS,NULL,N/A
12500275,01/04/2014 00:00:00,A,,680,1200,PASS,1200,PASS
12500275,02/05/2017 00:00:00,A,,691,1200,PASS,1200,PASS
12500275,04/04/2016 00:00:00,A,,727,1200,PASS,1200,PASS
12500275,04/11/2016 00:00:00,A,,703,1200,PASS,1200,PASS
12500275,05/06/2018 00:00:00,A,,704,1200,PASS,1200,PASS
12500275,07/02/2012 00:00:00,A,,702,1200,PASS,1200,PASS
12500275,09/08/2016 00:00:00,A,,705,1200,PASS,1200,PASS
12500275,10/01/2012 00:00:00,A,,700,1200,PASS,1200,PASS
12500275,10/05/2013 00:00:00,A,,690,1200,PASS,1200,PASS
